seg_id,seg_label,xs,ys,zs,xe,ye,ze,xm,ym,zm,diameter
183,basal3_01211,-8.210000038146973,-47.609169006347656,-74.85250091552734,-20.84977779867945,-48.36837681426873,-77.60548110373256,-14.529888918413212,-47.98877291030819,-76.22899100962995,0.5
184,basal3_01211,-20.84977779867945,-48.36837681426873,-77.60548110373256,-33.48955555921193,-49.1275846221898,-80.35846129193777,-27.169666678945692,-48.747980718229265,-78.98197119783516,0.5
185,basal3_01211,-33.48955555921194,-49.1275846221898,-80.35846129193777,-45.21950300047755,-50.29393224125605,-83.76785231675775,-39.80944443947817,-49.50718852615034,-81.7349513860404,0.5
186,basal3_01211,-45.21950300047755,-50.29393224125605,-83.76785231675775,-46.99908982940018,-56.88991790405997,-94.51002012371815,-45.54560610384162,-53.35569429885889,-89.46864976025304,0.5
187,basal3_01211,-46.99908982940018,-56.88991790405997,-94.51002012371815,-51.46779399374519,-64.56723737299689,-103.83906683389723,-49.59865802793999,-60.90444144800667,-98.8810231572793,0.5
188,basal3_01211,-51.46779399374519,-64.56723737299689,-103.83906683389723,-53.900209747417414,-73.09454127202278,-113.12899762406227,-52.89659777588185,-68.27860332689323,-108.9124437773274,0.5
189,basal3_01211,-53.90020974741741,-73.09454127202277,-113.12899762406227,-57.8753713361539,-77.60722486695173,-124.078924928361,-55.95993681487949,-75.72939002348343,-118.43901325298373,0.5
190,basal3_01211,-57.8753713361539,-77.60722486695173,-124.078924928361,-52.29299150337895,-81.67441279302855,-134.61963841586925,-54.34138962956672,-79.94421354903731,-128.98089176020247,0.5
191,basal3_01211,-52.29299150337895,-81.67441279302855,-134.61963841586925,-51.04999923706055,-83.96916961669922,-147.31248474121094,-51.671495370219745,-82.82179120486389,-140.9660615785401,0.5
192,basal3_01212,-8.210000038146973,-47.609169006347656,-74.85250091552734,-21.172708233149564,-51.2124397692852,-76.35952830200316,-14.691354135648268,-49.41080438781643,-75.60601460876525,0.5
193,basal3_01212,-21.172708233149564,-51.2124397692852,-76.35952830200316,-34.135416428152155,-54.81571053222273,-77.86655568847895,-27.654062330650863,-53.01407515075396,-77.11304199524106,0.5
194,basal3_01212,-34.13541642815216,-54.81571053222273,-77.86655568847895,-41.405533967136655,-60.97509555966177,-81.46168152172176,-40.61677052565346,-56.6173459136915,-78.62006938171686,0.5
195,basal3_01212,-41.405533967136655,-60.97509555966177,-81.46168152172176,-45.43886062476561,-70.32435281397295,-87.6143833397377,-40.83530250165682,-66.18952044322043,-84.99767024210875,0.5
196,basal3_01212,-45.43886062476561,-70.32435281397295,-87.6143833397377,-40.65176517430943,-81.11397857693677,-94.04104814674221,-43.13566044731182,-75.88509305072063,-90.71197323632767,0.5
197,basal3_01212,-40.65176517430943,-81.11397857693677,-94.04104814674221,-34.11139256134304,-88.29733491164892,-103.39376908018323,-37.037941673928394,-84.26769983995185,-98.81765239126199,0.5
198,basal3_01212,-34.111392561343045,-88.2973349116489,-103.39376908018322,-33.730622882587355,-98.20698058175597,-111.9451079171636,-32.938737573182735,-92.93434395725905,-107.77451480727782,0.5
199,basal3_01212,-33.730622882587355,-98.20698058175597,-111.9451079171636,-36.81764901589416,-109.30597119207923,-118.49196111666176,-35.70147390531097,-103.06436831765986,-116.12169259051997,0.5
200,basal3_01212,-36.81764901589416,-109.30597119207921,-118.49196111666176,-39.04999923706055,-121.78917694091797,-123.23249816894531,-37.933824126477354,-115.5475740664986,-120.86222964280353,0.5
201,basal3_0122,-11.299999237060547,-34.339168548583984,-36.97249984741211,-10.772479358986136,-47.303977195353596,-34.57434205049241,-8.673763213717512,-40.79139825043503,-35.68772181225148,0.5
202,basal3_0122,-10.772479358986134,-47.30397719535359,-34.57434205049241,-14.950517937046461,-59.018369577524965,-38.112919195144585,-14.30950896858801,-53.41976553050311,-34.177660600917086,0.5
203,basal3_0122,-14.950517937046461,-59.018369577524965,-38.112919195144585,-14.867203978728329,-69.61328429768302,-47.077270703452,-15.148737896247802,-64.7232689876632,-42.298276035909616,0.5
204,basal3_0122,-14.867203978728329,-69.61328429768302,-47.077270703452,-16.131499578307075,-74.01950109874969,-60.228701049861,-15.083102616594738,-71.94195111952692,-53.64513021168428,0.5
205,basal3_0122,-16.131499578307075,-74.01950109874969,-60.228701049861,-14.956008954733377,-82.93757206953089,-70.8051466137429,-15.409315549319063,-79.20852836023582,-64.99645572928958,0.5
